,Name,batter,bat_speed_90th,bat_speed_80th,bat_speed_std,swing_length_coefficient,swing_length_pvalue,contact_coefficient,contact_pvalue,contact_r2,estimated_woba_50th_percentile,estimated_woba_75th_percentile,estimated_woba_per_swing_top50,estimated_woba_per_swing_top25,swing_count,average_bat_speed,diff_between_wobacon_woba_50,diff_between_wobacon_woba_25
0,giancarlo stanton,519317,83.7023710127235,82.46598571728275,4.520539431744436,9.530008760669707,2.1565620228539874e-225,1.0753368390246594,3.823299234735634e-99,0.9619665468127228,0.4457241379310345,0.52321875,0.23937037037037037,0.31005555555555553,217.0,79.77403004626636,0.20635376756066412,0.21316319444444443
1,christopher morel,666624,80.42624025824539,78.85315275718946,5.717683601089064,9.443058544421282,8.429563221692468e-257,1.1290605929874864,5.7521679337265e-120,0.9713718190708408,0.44800000000000006,0.4019615384615385,0.19252892561983473,0.17418333333333333,242.0,75.45196808451038,0.25547107438016536,0.22777820512820515
2,oneil cruz,665833,83.62816901559852,82.32647597199713,10.151083331085971,9.839040580264635,4.897582115886836e-161,1.12561713691475,3.6803866428077443e-93,0.9663110563799698,0.32742553191489365,0.42254166666666665,0.16371276595744683,0.21576595744680852,189.0,75.20414764280522,0.16371276595744683,0.20677570921985813
3,matt chapman,656305,82.52352009523837,80.6228456488639,8.332502875823977,10.2088240791038,5.899096312542133e-236,1.0909192977330056,1.0000212921149863e-130,0.9700902832817302,0.273,0.28051724137931033,0.133224,0.13120967741935483,251.0,74.86731871914934,0.139776,0.1493075639599555
4,yordan álvarez,670541,80.38639803500655,79.14190507424111,6.139178930627457,9.874494505050688,6.468982042394198e-222,1.1532381855218055,3.8846671418975295e-146,0.9739672125264607,0.49896874999999996,0.47887096774193544,0.2729401709401709,0.2559482758620689,234.0,74.8082438955856,0.22602857905982904,0.22292269187986652
5,aaron judge,592450,80.29321448826357,79.17293410890602,8.194922504613906,9.265958936894922,4.400880556577231e-270,1.1636216188147224,8.93007170500301e-134,0.9712915781095096,0.5509285714285714,0.5066538461538462,0.22853333333333334,0.19661194029850748,271.0,74.62918742568331,0.32239523809523807,0.31004190585533875
6,jorge soler,624585,79.40874375512219,78.33159973673828,4.894120169639211,9.338334211873034,1.0252619705874803e-198,1.1044556885448071,1.3897609004172713e-101,0.9691450853774776,0.24614,0.28948148148148145,0.12185148514851485,0.15632,202.0,74.61969214490355,0.12428851485148515,0.13316148148148146
7,jo adell,666176,81.39180570777371,79.71201275798377,7.9152352190215876,9.734939741185663,9.224568511591014e-160,1.0585945695083283,2.8980624679082057e-86,0.9553731946936396,0.6039354838709677,0.8071875000000001,0.20350000000000001,0.2807608695652174,185.0,74.38338896796681,0.4004354838709677,0.5264266304347827
8,ronald acuña,660670,80.75638396528333,79.3491409409093,8.49394440671515,9.842256723083128,4.5523200877813456e-278,1.1089596165451936,1.6393336616599058e-144,0.9723337023804358,0.436578947368421,0.5008666666666666,0.17775,0.21465714285714282,281.0,74.37688349013536,0.258828947368421,0.28620952380952375
9,kyle schwarber,656941,81.12149201868131,79.72413372158807,9.428115757803761,9.458791357054068,2.443378995315063e-242,1.1210092557547935,5.707657523180812e-115,0.9674646011544732,0.40365624999999994,0.46291428571428567,0.20026356589147284,0.25315624999999997,259.0,74.3272257467128,0.2033926841085271,0.2097580357142857
10,gunnar henderson,683002,79.72725892253408,78.01299282786823,6.061111273855754,10.27018647948777,7.660270830581685e-261,1.1405127881171024,6.039622163667273e-137,0.9671518199720446,0.44694117647058823,0.5223428571428571,0.22183941605839416,0.2688529411764706,275.0,74.22316730289128,0.22510176041219407,0.25348991596638654
11,vladimir guerrero,665489,80.78374333587563,78.5500146670093,6.556508593112138,9.602711249960654,1.4835196995657433e-257,1.124230535227555,4.156136670429635e-142,0.9694646552054251,0.47911538461538467,0.5994137931034483,0.194640625,0.27160937500000004,257.0,74.16052856277649,0.28447475961538465,0.3278044181034483
12,julio rodríguez,677594,80.05842060973413,78.78846183098844,8.409543633716149,9.5028128631796,2.45899626000759e-294,1.1256182315469965,5.110684135871261e-144,0.9662789065313576,0.35565625,0.31187096774193546,0.14975,0.12721052631578947,304.0,74.12014475118114,0.20590625,0.184660441426146
13,javier báez,595879,79.3785596913744,77.87635818386943,6.002557096681893,8.494929130809044,1.0865777460144166e-181,1.0939246805386391,6.472999548825237e-102,0.9703035118301558,0.27278846153846154,0.276625,0.1525268817204301,0.19243478260869565,187.0,74.0184902387295,0.12026157981803143,0.08419021739130436
14,juan soto,665742,79.72442881886471,78.50478392898174,8.160963653946222,10.171739380309546,9.495482570063382e-225,1.1847743299389588,8.093934530773882e-138,0.9742525648359713,0.5006714285714285,0.6085405405405406,0.29700847457627116,0.38162711864406784,236.0,73.91690298829089,0.20366295399515738,0.2269134218964728
15,bobby witt,677951,79.3067044217248,77.99358579373694,5.916871812610624,10.541737828042919,1.6350549994423803e-297,1.1402926192670508,1.2889601512534725e-174,0.973922857052009,0.3944666666666667,0.40402380952380956,0.19723333333333334,0.22625333333333336,301.0,73.85528606902756,0.19723333333333334,0.1777704761904762
16,miguel sanó,593934,80.51237316487298,78.95814873374948,8.75290538535339,9.229663817417448,4.2583074381043246e-101,1.1156191484992757,1.8706244894524738e-50,0.9699988306671536,0.4129629629629629,0.6196,0.20648148148148146,0.34422222222222226,109.0,73.83110406747642,0.20648148148148146,0.2753777777777778
17,oliver dunn,686554,78.32103823148168,77.44934106684062,6.736124798159255,9.749265810196187,6.62499668338557e-134,1.0917581217340684,1.3643547505446913e-62,0.9684996195051677,0.25885714285714284,0.2777222222222222,0.1115076923076923,0.15621875,130.0,73.82617419044662,0.14734945054945053,0.12150347222222221
18,ryan mountcastle,663624,79.56227099835814,78.26311568692896,6.456812946032503,9.769309726212521,1.4485329960367218e-242,1.1010924307484045,6.55282610554484e-150,0.9679653552812392,0.406327868852459,0.5359705882352941,0.18091970802919707,0.26798529411764704,274.0,73.81854506571337,0.2254081608232619,0.26798529411764704
19,shohei ohtani,660271,80.41590737506306,78.6703329388703,6.712694695813504,9.734553702393843,7.738716905780737e-228,1.1609135591550845,1.4231759798766013e-131,0.9701577520073765,0.5774576271186442,0.6892962962962963,0.2725600000000001,0.3001774193548387,251.0,73.80923444330558,0.30489762711864415,0.3891188769414576
20,jake burger,669394,79.15047706418179,78.24006906035875,6.806871980640141,9.900085582779083,5.602677386070206e-97,1.1472284729754483,4.132506812794157e-56,0.9720334017892882,0.4266363636363636,0.37427272727272726,0.1840392156862745,0.16468,103.0,73.63259801376888,0.2425971479500891,0.20959272727272726
21,tyler o'neill,641933,78.72786774524822,77.34019190455267,5.260701453484274,9.828811122651716,7.755508614005045e-189,1.1613986577604811,1.8608512697009687e-93,0.9760896463775213,0.49073529411764705,0.5486666666666666,0.18538888888888888,0.21946666666666664,181.0,73.61950585399822,0.30534640522875817,0.3292
22,elehuris montero,660707,78.99680830636176,77.52619586746377,7.328797728867338,9.69118335992042,1.9873724965033677e-195,1.0964546964118371,1.0445684626378816e-106,0.9624977569262747,0.26347916666666665,0.2554827586206897,0.11931132075471697,0.13979245283018868,212.0,73.61646599593809,0.1441678459119497,0.11569030579050102
