,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
0,FF,2024-05-12,95.1,-2.93,5.86,"Henderson, Gunnar",683002,668678,field_out,hit_into_play,,,,,2,Gunnar Henderson lines out sharply to left fielder Lourdes Gurriel Jr.,R,L,R,BAL,AZ,X,7.0,line_drive,1,0,2024,-0.39,1.47,0.22,3.25,,676059.0,602104.0,2,5,Bot,78.07,70.57,,,571466,,,9.17362810724861,-138.13630831381994,-4.496978567918703,-7.102062134389588,32.22939522066817,-12.533131398655764,3.69,1.74,339.0,101.8,19.0,95.5,2199,6.7,747042,668678,571466,572233,606466,553993,621028,666971,682998,664983,53.76,0.42,0.57,0.0,1.0,0.0,0.0,5.0,40,2,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,213,-0.06,-0.46,71.90061245535425,6.34347
1,FF,2024-05-12,95.2,-2.91,5.79,"Henderson, Gunnar",683002,668678,,ball,,,,,14,Gunnar Henderson lines out sharply to left fielder Lourdes Gurriel Jr.,R,L,R,BAL,AZ,B,,,0,0,2024,-0.29,1.57,1.14,2.56,,676059.0,602104.0,2,5,Bot,,,,,571466,,,11.297657200064862,-138.0169415307233,-6.317144761270498,-6.223189587924273,31.530601891044306,-10.87964752296355,3.72,1.71,,,,95.4,2292,6.7,747042,668678,571466,572233,606466,553993,621028,666971,682998,664983,53.8,,,,,,,,40,1,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,210,0.0,0.023,,
2,FF,2024-05-12,94.2,-3.0,5.92,"Henderson, Gunnar",683002,668678,field_out,hit_into_play,,,,,6,Gunnar Henderson flies out to left fielder Lourdes Gurriel Jr.,R,L,R,BAL,AZ,X,7.0,fly_ball,0,0,2024,-0.65,1.42,0.54,2.73,,,,2,3,Bot,81.11,98.09,,,571466,,,10.694492652873322,-136.60057898445163,-5.673455425528655,-10.633145980607926,31.751417212627103,-13.305586791809066,3.69,1.74,275.0,89.2,45.0,94.3,2293,6.6,747042,668678,571466,572233,606466,553993,621028,666971,682998,664983,53.85,0.011,0.011,0.0,1.0,0.0,0.0,3.0,19,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,212,-0.012,-0.093,76.89164720970629,6.74973
3,SI,2024-05-12,92.1,-1.91,5.78,"Henderson, Gunnar",683002,621199,field_out,hit_into_play,,,,,7,"Gunnar Henderson grounds out, third baseman Eugenio Suárez to first baseman Christian Walker.",R,L,R,BAL,AZ,X,5.0,ground_ball,1,0,2024,-1.62,0.68,-0.81,2.23,,,,0,8,Bot,107.1,157.09,,,571466,,,6.285203450121547,-134.02196407224756,-4.66776284078009,-20.92963264245164,27.78870617049132,-23.16059925942939,3.69,1.74,7.0,80.2,-15.0,91.8,2078,6.0,747042,621199,571466,572233,606466,553993,621028,666971,682998,664983,54.51,0.057,0.064,0.0,1.0,0.0,0.0,2.0,66,2,Sinker,2,9,2,9,9,2,2,9,Standard,Standard,233,-0.002,-0.268,76.20970838439405,6.9535
4,FC,2024-05-12,87.0,-2.08,6.05,"Henderson, Gunnar",683002,621199,,ball,,,,,11,"Gunnar Henderson grounds out, third baseman Eugenio Suárez to first baseman Christian Walker.",R,L,R,BAL,AZ,B,,,0,0,2024,0.33,0.63,-0.18,4.03,,,,0,8,Bot,,,,,571466,,,3.957332282889833,-126.745413281757,-0.0466184753770188,2.937383547303829,22.29998634500057,-25.44303359482673,3.67,1.72,,,,89.2,2235,7.3,747042,621199,571466,572233,606466,553993,621028,666971,682998,664983,53.23,,,,,,,,66,1,Cutter,2,9,2,9,9,2,2,9,Standard,Standard,148,0.0,0.037,,
5,FF,2024-05-12,95.0,-3.16,5.81,"Henderson, Gunnar",683002,668678,strikeout,called_strike,,,,,7,Gunnar Henderson called out on strikes.,R,L,R,BAL,AZ,S,2.0,,3,2,2024,-0.78,1.47,-0.42,1.96,,,,0,1,Bot,,,,,571466,,,8.949228010828834,-138.01498578346292,-7.783860200971381,-11.888720360129977,28.20490711502889,-11.734114268715825,3.7,1.74,,,,95.8,2509,6.6,747042,668678,571466,572233,606466,553993,621028,666971,682998,664983,53.86,,0.0,0.0,1.0,0.0,0.0,,4,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,213,-0.021,-0.305,,
6,CH,2024-05-12,88.7,-3.28,5.64,"Henderson, Gunnar",683002,668678,,ball,,,,,14,Gunnar Henderson called out on strikes.,R,L,R,BAL,AZ,B,,,2,2,2024,-1.21,0.29,0.03,0.36,,,,0,1,Bot,,,,,571466,,,10.643636197889627,-128.60877601215745,-7.48782343303386,-15.54567697150592,25.610500057978307,-27.55560092576529,3.7,1.7,,,,89.2,1682,6.7,747042,668678,571466,572233,606466,553993,621028,666971,682998,664983,53.81,,,,,,,,4,5,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,228,0.0,0.099,,
7,CH,2024-05-12,87.3,-3.3,5.77,"Henderson, Gunnar",683002,668678,,ball,,,,,14,Gunnar Henderson called out on strikes.,R,L,R,BAL,AZ,B,,,1,2,2024,-0.96,0.2,0.13,0.77,,,,0,1,Bot,,,,,571466,,,10.259264946560902,-126.61252069488366,-6.2649429691422345,-12.481539060137216,26.223485238131914,-28.90950964462001,3.73,1.75,,,,87.4,1648,6.5,747042,668678,571466,572233,606466,553993,621028,666971,682998,664983,53.95,,,,,,,,4,4,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,231,0.0,0.04,,
8,FF,2024-05-12,93.3,-3.01,5.93,"Henderson, Gunnar",683002,668678,,foul,,,,,12,Gunnar Henderson called out on strikes.,R,L,R,BAL,AZ,S,,,1,1,2024,-0.59,1.63,1.08,3.61,,,,0,1,Bot,,,,,571466,,,11.81157476213114,-135.3992971197911,-3.783917191368159,-9.800393872754247,29.070782518751276,-11.484726434300796,3.69,1.74,26.0,37.4,0.0,93.4,2358,6.4,747042,668678,571466,572233,606466,553993,621028,666971,682998,664983,54.05,,,,,,,,4,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,216,0.0,-0.052,40.39255984712536,5.03377
9,CH,2024-05-12,88.2,-3.26,5.68,"Henderson, Gunnar",683002,668678,,ball,,,,,13,Gunnar Henderson called out on strikes.,R,L,R,BAL,AZ,B,,,0,1,2024,-1.18,0.18,-0.47,1.04,,,,0,1,Bot,,,,,571466,,,9.292851013111076,-128.17827289091517,-5.645041980845175,-14.846413667919178,24.19491677760861,-29.20894633542293,3.74,1.77,,,,89.0,1656,6.7,747042,668678,571466,572233,606466,553993,621028,666971,682998,664983,53.83,,,,,,,,4,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,227,0.0,0.023,,
